Name Of News Source,RSS feed,Quality Rating
Association for Psychological Science – APS,http://www.psychologicalscience.org/index.php/feed,5
Memory News -- ScienceDaily,http://www.sciencedaily.com/rss/mind_brain/memory.xml,4
Psychology | The Guardian,http://www.guardian.co.uk/science/psychology/rss,5
"Psychology News - Psychiatry News, Health News, Psychology, Health",http://medicalxpress.com/rss-feed/psychology-news/,4
Psychology Research News -- ScienceDaily,http://www.sciencedaily.com/rss/mind_brain/psychology.xml,4
PsycPORT™: Psychology Newswire,http://www.apa.org/news/psycport/psycport-rss.xml,5
Social Psychology News -- ScienceDaily,http://www.sciencedaily.com/rss/mind_brain/social_psychology.xml,4
Scientific American ,https://www.scientificamerican.com/platform/syndication/rss/,5
